Date,Stock,Twitpolarity,Twitsubjectivity,Total_Twits,Value,Calc
11/7/19,AMZN,0.052849988,0.311727787,698,-15.56,0
11/7/19,BBY,0.104049587,0.12046832,22,0.04,1
11/7/19,HD,0.018458594,0.199786807,28,-1.06,0
11/7/19,LOW,0.009259259,0.202020202,8,-0.85,0
11/7/19,M,0.069366191,0.129647639,43,-0.09,0
11/7/19,TGT,0.078925874,0.27605035,25,-1.03,0
11/7/19,WMT,0.063693209,0.216271223,67,0.23,1
11/8/19,AMZN,0.056396422,0.287532861,426,-2.01,0
11/8/19,BBY,0.25,0.183333333,6,1.17,1
11/8/19,HD,0.070688312,0.217461039,10,0.04,1
11/8/19,LOW,0.016630592,0.190052309,22,1.26,1
11/8/19,M,0.023794266,0.128570009,61,-0.22,0
11/8/19,TGT,0.060741414,0.203628283,25,-0.41,0
11/8/19,WMT,0.029039129,0.103182711,66,-0.87,0
11/9/19,AMZN,0.034317176,0.235353594,61,nd,nd
11/9/19,BBY,0.277777778,0.083333333,9,nd,nd
11/9/19,HD,0.025,0.0375,8,nd,nd
11/9/19,LOW,0,0.054545455,11,nd,nd
11/9/19,M,-0.005227273,0.238270202,12,nd,nd
11/9/19,TGT,0.052525253,0.164343434,10,nd,nd
11/9/19,WMT,0.03147138,0.218225589,15,nd,nd
11/10/19,AMZN,0.074791433,0.299569488,108,nd,nd
11/10/19,BBY,0.589141414,0.28348064,6,nd,nd
11/10/19,HD,0.017045455,0.094318182,8,nd,nd
11/10/19,LOW,0.034090909,0.151136364,4,nd,nd
11/10/19,M,0.057996633,0.156018519,11,nd,nd
11/10/19,TGT,0.038888889,0.038888889,6,nd,nd
11/10/19,WMT,0.067911255,0.139664502,14,nd,nd
11/11/19,AMZN,0.042040344,0.278300169,387,-6.35,0
11/11/19,BBY,0.144405594,0.118531469,13,-0.25,0
11/11/19,HD,0.057190048,0.224635684,43,1.3,1
11/11/19,LOW,0.033856952,0.249290701,17,1.23,1
11/11/19,M,0.055342685,0.174623382,64,0.2,1
11/11/19,TGT,0.066485559,0.278768939,16,-0.18,0
11/11/19,WMT,0.075206502,0.214241983,98,0.34,1
11/12/19,AMZN,0.065406754,0.289301793,341,3.34,1
11/12/19,BBY,0.285927456,0.192906336,11,-1,0
11/12/19,HD,0.025,0.068722944,22,0.97,1
11/12/19,LOW,0.046969697,0.30462963,9,-0.06,0
11/12/19,M,0.041039728,0.166844775,87,0.16,1
11/12/19,TGT,0.037009154,0.194723801,40,-1.87,0
11/12/19,WMT,0.042071979,0.164485854,164,-0.48,0
11/13/19,AMZN,0.07358215,0.30197529,718,-20.28,0
11/13/19,BBY,0.542592593,0.257407407,9,0.29,1
11/13/19,HD,0.019937097,0.181588048,29,2.71,1
11/13/19,LOW,0.051943821,0.200270919,27,-0.12,0
11/13/19,M,0.055010795,0.119930059,43,0.12,1
11/13/19,TGT,0.082975059,0.244080157,34,-0.05,0
11/13/19,WMT,0.065595193,0.163837299,433,1.82,1
11/14/19,AMZN,0.066151896,0.32176317,428,3.17,1
11/14/19,BBY,0.192994949,0.175631313,20,0.68,1
11/14/19,HD,0.06204023,0.143045977,29,1.55,1
11/14/19,LOW,0.058764881,0.243928571,16,1.02,1
11/14/19,M,0.05044051,0.141693075,64,0.05,1
11/14/19,TGT,0.139367381,0.309716995,81,0.4,1
11/14/19,WMT,0.056907422,0.199943475,1412,-3.95,0
11/15/19,AMZN,0.029658736,0.310288708,787,-20.56,0
11/15/19,BBY,0.242156863,0.181127451,17,1.16,1
11/15/19,HD,0.053096003,0.216462788,66,-0.4,0
11/15/19,LOW,0.024195076,0.234469697,16,0.4,1
11/15/19,M,0.033440217,0.11292427,142,0.36,1
11/15/19,TGT,0.110381636,0.224653768,82,1.16,1
11/15/19,WMT,0.038734914,0.184632812,728,-1.81,0
11/16/19,AMZN,0.066878143,0.271475533,133,nd,nd
11/16/19,BBY,0.53125,0.279166667,4,nd,nd
11/16/19,HD,0.113217703,0.248664274,19,nd,nd
11/16/19,LOW,-0.002171717,0.25040404,11,nd,nd
11/16/19,M,0.031534091,0.132954545,32,nd,nd
11/16/19,TGT,0.150761511,0.310341401,22,nd,nd
11/16/19,WMT,0.067629188,0.188916365,70,nd,nd
11/17/19,AMZN,0.095691613,0.311420398,63,nd,nd
11/17/19,BBY,0.420980279,0.31842809,5,nd,nd
11/17/19,HD,0.081469697,0.205926768,25,nd,nd
11/17/19,LOW,0.107284382,0.212529138,13,nd,nd
11/17/19,M,0.031190476,0.146507937,35,nd,nd
11/17/19,TGT,0.151658951,0.325887346,27,nd,nd
11/17/19,WMT,0.094999743,0.20957235,82,nd,nd